HPA region,Destrieux region
angular gyrus,G_pariet_inf-Angular
"anterior cingulate cortex, supragenual-dorsal",G_and_S_cingul-Ant
"anterior insular cortex, dorsal",S_circular_insula_ant
frontal operculum,G_front_inf-Opercular
inferior temporal gyrus,G_temporal_inf
intraparietal deep sulcus,S_intrapariet_and_P_trans
lingual gyrus,G_oc-temp_med-Lingual
middle temporal gyrus,G_temporal_middle
occipital cortex,G_occipital_sup
"orbitofrontal gyrus, anterior",G_front_inf-Orbital
"paracentral lobule, anterior",G_and_S_paracentral
parahippocampal cortex,G_oc-temp_med-Parahip
parieto-occipital transitional area,S_parieto_occipital
postcentral gyrus,G_postcentral
"posterior cingulate cortex, dorsal",G_cingul-Post-dorsal
"posterior cingulate cortex, ventral",G_cingul-Post-ventral
precentral gyrus,G_precentral
precuneus,G_precuneus
"subcentral gyrus, S2",G_and_S_subcentral
superior parietal lobule,G_parietal_sup
superior temporal gyrus,S_temporal_sup
supramarginal gyrus,G_pariet_inf-Supramar
temporal pole,Pole_temporal
temporo-occipital transitional zone,S_oc-temp_med_and_Lingual
"transversal temporal gyrus, anterior",G_temp_sup-G_T_transv
fusiform gyrus,G_oc-temp_lat-fusifor
